Professor_id,Professor Name,Rank,Course_id
jeffery.wagner@myscu.edu,Jeffery Wagner,Senior Professor,"DATA214, DATA204, DATA215"
anthony.gonzalez@myscu.edu,Anthony Gonzalez,Senior Professor,"DATA212, DATA218"
debra.gardner@myscu.edu,Debra Gardner,Senior Professor,"DATA201, DATA217, DATA208"
jeffrey.lawrence@myscu.edu,Jeffrey Lawrence,Senior Professor,DATA205
lisa.smith@myscu.edu,Lisa Smith,Associate Professor,DATA216
linda.wolfe@myscu.edu,Linda Wolfe,Associate Professor,"DATA210, DATA207"
matthew.moore@myscu.edu,Matthew Moore,Senior Professor,DATA200
susan.rogers@myscu.edu,Susan Rogers,Senior Professor,"DATA206, DATA213"
christopher.davis@myscu.edu,Christopher Davis,Associate Professor,"DATA211, DATA202"
melanie.munoz@myscu.edu,Melanie Munoz,Assistant Professor,"DATA209, DATA219, DATA203"
