Student_id,Course_id,Grades,Marks
amanda.dudley@myscu.edu,DATA202,N/A,N/A
nicholas.arnold@myscu.edu,DATA215,F,12
nicholas.arnold@myscu.edu,DATA211,A,97
maria.montgomery@myscu.edu,DATA204,A,96
maria.montgomery@myscu.edu,DATA203,F,24
maria.montgomery@myscu.edu,DATA208,F,16
michelle.ray@myscu.edu,DATA216,F,59
michelle.ray@myscu.edu,DATA218,C,76
janet.williams@myscu.edu,DATA204,C,70
janet.williams@myscu.edu,DATA207,F,6
janet.williams@myscu.edu,DATA202,F,45
janet.williams@myscu.edu,DATA205,A,95
jeremy.roberts@myscu.edu,DATA202,C,75
jeremy.roberts@myscu.edu,DATA218,B,86
craig.ramirez@myscu.edu,DATA216,A,98
cynthia.diaz@myscu.edu,DATA202,F,3
cynthia.diaz@myscu.edu,DATA206,F,29
cynthia.diaz@myscu.edu,DATA204,B,85
cynthia.diaz@myscu.edu,DATA205,A,96
mitchell.clark@myscu.edu,DATA218,F,8
mitchell.clark@myscu.edu,DATA207,F,6
mitchell.clark@myscu.edu,DATA213,F,1
mitchell.clark@myscu.edu,DATA216,F,36
joseph.zuniga@myscu.edu,DATA205,B,86
joseph.zuniga@myscu.edu,DATA218,C,79
joseph.zuniga@myscu.edu,DATA206,F,27
deborah.lynch@myscu.edu,DATA207,F,38
george.daniel@myscu.edu,DATA213,F,1
george.daniel@myscu.edu,DATA206,F,26
george.daniel@myscu.edu,DATA212,B,88
george.daniel@myscu.edu,DATA219,C,74
frank.gray@myscu.edu,DATA211,F,15
frank.gray@myscu.edu,DATA209,F,0
frank.gray@myscu.edu,DATA204,F,35
frank.gray@myscu.edu,DATA212,F,44
veronica.bowman@myscu.edu,DATA207,F,16
veronica.bowman@myscu.edu,DATA213,F,4
veronica.bowman@myscu.edu,DATA218,F,27
veronica.bowman@myscu.edu,DATA209,F,54
veronica.bowman@myscu.edu,DATA208,F,5
angela.cohen@myscu.edu,DATA208,D,64
angela.cohen@myscu.edu,DATA219,C,78
megan.parsons@myscu.edu,DATA213,B,89
jeremy.johnson@myscu.edu,DATA208,F,36
jeremy.johnson@myscu.edu,DATA215,F,8
leslie.adams@myscu.edu,DATA213,D,69
jason.hahn@myscu.edu,DATA218,B,80
jason.hahn@myscu.edu,DATA206,C,78
jason.hahn@myscu.edu,DATA208,F,12
nancy.edwards@myscu.edu,DATA218,B,83
diana.foster@myscu.edu,DATA212,F,43
diana.foster@myscu.edu,DATA218,C,78
joseph.wright@myscu.edu,DATA206,F,22
joseph.wright@myscu.edu,DATA204,A,93
anna.baker@myscu.edu,DATA211,F,45
brenda.hurst@myscu.edu,DATA212,F,44
brenda.hurst@myscu.edu,DATA207,A,97
reginald.robinson@myscu.edu,DATA214,A,90
whitney.hicks@myscu.edu,DATA219,F,31
christopher.williams@myscu.edu,DATA207,F,47
christopher.williams@myscu.edu,DATA204,B,87
christopher.williams@myscu.edu,DATA206,C,72
christopher.williams@myscu.edu,DATA208,F,43
daniel.burton@myscu.edu,DATA204,F,18
laura.henderson@myscu.edu,DATA215,F,5
laura.henderson@myscu.edu,DATA206,F,49
laura.henderson@myscu.edu,DATA203,F,9
laura.henderson@myscu.edu,DATA219,F,4
bryan.james@myscu.edu,DATA219,F,7
bryan.james@myscu.edu,DATA203,F,52
bryan.james@myscu.edu,DATA206,C,72
wendy.rice@myscu.edu,DATA216,C,73
wendy.rice@myscu.edu,DATA204,F,1
wendy.rice@myscu.edu,DATA219,B,82
wendy.rice@myscu.edu,DATA203,F,2
tasha.valencia@myscu.edu,DATA213,F,50
alexander.le@myscu.edu,DATA205,F,54
alexander.le@myscu.edu,DATA216,C,70
alexander.le@myscu.edu,DATA208,F,7
alexander.le@myscu.edu,DATA214,F,9
erin.herrera@myscu.edu,DATA207,D,69
erin.herrera@myscu.edu,DATA204,F,49
joseph.davidson@myscu.edu,DATA219,A,91
joseph.davidson@myscu.edu,DATA212,F,56
daniel.graham@myscu.edu,DATA216,D,61
daniel.graham@myscu.edu,DATA206,F,33
daniel.graham@myscu.edu,DATA207,F,5
shawn.mckay@myscu.edu,DATA209,A,99
shawn.mckay@myscu.edu,DATA215,B,89
shawn.mckay@myscu.edu,DATA208,F,30
shawn.mckay@myscu.edu,DATA213,D,61
nancy.baker@myscu.edu,DATA215,D,64
vincent.white@myscu.edu,DATA202,F,34
vincent.white@myscu.edu,DATA213,B,87
rita.harrell@myscu.edu,DATA213,F,16
rita.harrell@myscu.edu,DATA205,A,91
rita.harrell@myscu.edu,DATA218,B,84
kenneth.fowler@myscu.edu,DATA219,F,24
kenneth.fowler@myscu.edu,DATA216,C,72
kenneth.fowler@myscu.edu,DATA209,F,36
kenneth.fowler@myscu.edu,DATA206,F,39
chelsea.hernandez@myscu.edu,DATA203,B,89
chelsea.hernandez@myscu.edu,DATA209,F,47
chelsea.hernandez@myscu.edu,DATA204,F,28
kathryn.ryan@myscu.edu,DATA213,F,2
kathryn.ryan@myscu.edu,DATA208,F,0
kathryn.ryan@myscu.edu,DATA205,F,50
kimberly.moreno@myscu.edu,DATA202,D,62
kimberly.moreno@myscu.edu,DATA215,F,48
kimberly.moreno@myscu.edu,DATA216,A,97
andrew.hickman@myscu.edu,DATA202,F,42
andrew.hickman@myscu.edu,DATA214,F,41
andrew.hickman@myscu.edu,DATA211,F,1
andrew.hickman@myscu.edu,DATA209,F,27
andrew.hickman@myscu.edu,DATA207,F,20
natasha.decker@myscu.edu,DATA204,B,81
natasha.decker@myscu.edu,DATA206,F,44
natasha.decker@myscu.edu,DATA208,F,1
natasha.decker@myscu.edu,DATA215,F,9
kyle.brown@myscu.edu,DATA208,F,27
kyle.brown@myscu.edu,DATA205,F,48
kyle.brown@myscu.edu,DATA215,F,40
natalie.arroyo@myscu.edu,DATA211,F,32
natalie.arroyo@myscu.edu,DATA214,F,16
christopher.tucker@myscu.edu,DATA208,F,50
chad.hodges@myscu.edu,DATA212,F,36
chad.hodges@myscu.edu,DATA215,F,13
katie.anderson@myscu.edu,DATA208,F,58
katie.anderson@myscu.edu,DATA207,D,68
katie.anderson@myscu.edu,DATA216,F,23
thomas.pierce@myscu.edu,DATA214,C,74
thomas.pierce@myscu.edu,DATA203,F,7
joseph.brennan@myscu.edu,DATA211,F,23
joseph.brennan@myscu.edu,DATA216,B,84
rodney.lewis@myscu.edu,DATA209,C,73
rodney.lewis@myscu.edu,DATA203,B,89
rodney.lewis@myscu.edu,DATA208,A,99
amber.blair@myscu.edu,DATA209,F,28
amber.blair@myscu.edu,DATA212,F,28
amber.blair@myscu.edu,DATA202,F,42
james.collins@myscu.edu,DATA219,F,12
james.collins@myscu.edu,DATA203,F,8
james.collins@myscu.edu,DATA207,F,1
james.collins@myscu.edu,DATA209,A,94
james.collins@myscu.edu,DATA208,A,100
samuel.holmes@myscu.edu,DATA209,F,5
samuel.holmes@myscu.edu,DATA218,B,82
samuel.holmes@myscu.edu,DATA216,F,53
samuel.holmes@myscu.edu,DATA205,B,86
samuel.holmes@myscu.edu,DATA215,F,5
david.walker@myscu.edu,DATA215,A,98
david.walker@myscu.edu,DATA204,F,0
david.walker@myscu.edu,DATA219,B,81
matthew.chapman@myscu.edu,DATA216,D,69
matthew.chapman@myscu.edu,DATA213,C,71
matthew.chapman@myscu.edu,DATA218,F,52
jerry.robinson@myscu.edu,DATA215,F,31
jerry.robinson@myscu.edu,DATA206,F,1
jerry.robinson@myscu.edu,DATA205,F,19
jerry.robinson@myscu.edu,DATA203,F,14
