User_id,Password,Role
alexis.carrillo@myscu.edu,7WPM`.7gBH(/,admin
marisa.campbell@myscu.edu,(SfNOuQ2.Phf,admin
nicholas.castillo@myscu.edu,u6Il'FkSjy@x,admin
jessica.bass@myscu.edu,"8RGfP,)6!Ey0",admin
gina.hernandez@myscu.edu,",wKVe6nh.g""a",admin
emily.marquez@myscu.edu,"y1+[7az_rB""k",professor
gary.mcdonald@myscu.edu,<_!|]YM!u~K9,professor
alexis.fields@myscu.edu,"IG>{x,F5C#S*",professor
michael.lopez@myscu.edu,=V%e'X4w`%T/,professor
megan.martinez@myscu.edu,vx.#ET5O~>I%,professor
wendy.tucker@myscu.edu,[{*LoaXn>Q*2,professor
katie.johnson@myscu.edu,"eOF&9@=76X,o",professor
cheryl.novak@myscu.edu,_1afs!1@BP%M,professor
debra.gonzalez@myscu.edu,}!v}Z)-\e)cM,professor
kayla.ward@myscu.edu,tW%kdHWbs<Fi,professor
briana.hughes@myscu.edu,wcBuC9{zwFg:,student
maria.flowers@myscu.edu,?:$d>TVyIm+{,student
madison.romero@myscu.edu,E\}02R0}I7iI,student
catherine.estrada@myscu.edu,VyP1O;Y^h~$>,student
robert.paul@myscu.edu,e3^{D_tqeC09,student
danielle.patel@myscu.edu,o1W-^zDv.DFX,student
ethan.webster@myscu.edu,fn.UL.wP<ShP,student
samantha.fuller@myscu.edu,K]C=H~=Cq#ls,student
tiffany.taylor@myscu.edu,X!eBy0k37=7N,student
cynthia.acevedo@myscu.edu,Tto*]nU5\d`\,student
andrew.adkins@myscu.edu,bgBw-KM[pQ=*,student
linda.lane@myscu.edu,z^[qUs3+AE8`,student
heather.collins@myscu.edu,c;jJSxyV=|*u,student
joanna.morris@myscu.edu,""":=)""SyAq""xy",student
victoria.jones@myscu.edu,/X.[5fTD:ubY,student
lance.bentley@myscu.edu,G*#9o[8adRbc,student
sandra.casey@myscu.edu,-*G=1rB5:a|_,student
russell.jefferson@myscu.edu,y.;%kwZa+tfN,student
margaret.gonzalez@myscu.edu,u<V8)B>q|[>!,student
christopher.martinez@myscu.edu,Js2[lG0!-AY7,student
sara.carlson@myscu.edu,Vaqtejo}A}'$,student
melissa.brown@myscu.edu,`8NidHgi~f=O,student
manuel.norris@myscu.edu,C01[JVY}P^Zc,student
kimberly.solis@myscu.edu,"\'<:Zejh8#,Y",student
victor.lopez@myscu.edu,"X-a""cm];^m5q",student
sara.medina@myscu.edu,eE{s_\E.gW;K,student
olivia.lynch@myscu.edu,2hIpnv5^Pdyb,student
james.weaver@myscu.edu,6YqKYUCYSod@,student
tiffany.walsh@myscu.edu,9(:]+d\7GyKO,student
nicholas.rosario@myscu.edu,L1<g)H8V'4\E,student
gary.park@myscu.edu,"@J(dQ""Q|N2!K",student
maria.green@myscu.edu,"49>0qZX=)""&}",student
raymond.irwin@myscu.edu,v=Ik/'4V<`wc,student
katherine.atkinson@myscu.edu,"',>M)~[.Xu;U",student
matthew.perez@myscu.edu,"i""*5@'Q,nL3#",student
richard.rodriguez@myscu.edu,"z&EP""F_UCoNE",student
emily.dixon@myscu.edu,"!1XTC"".'0[$l",student
julie.scott@myscu.edu,\f6ADAa4+rtn,student
kaitlyn.thompson@myscu.edu,*=F)8'Q|LwJj,student
lauren.mckinney@myscu.edu,bu?0UoTr0eIb,student
olivia.cortez@myscu.edu,"P~,uMsxO$%]e",student
steven.torres@myscu.edu,K}sY+aYvGqR',student
sophia.hernandez@myscu.edu,~vzg/#Gc|dZ8,student
rebecca.fleming@myscu.edu,p#lG_nBG=zGN,student
andrew.moreno@myscu.edu,"=n|n3e,oq)L4",student
jared.holden@myscu.edu,&$bY#jQ~VkV<,student
sarah.lane@myscu.edu,U;YjW7y0H51M,student
valerie.ramirez@myscu.edu,G<Y6)$m$Q}?X,student
kyle.shelton@myscu.edu,^q<S9:8rciK!,student
larry.roman@myscu.edu,'yGzNqTvE;i_,student
ronald.lewis@myscu.edu,BQl/R-^TlFei,student
jill.stewart@myscu.edu,+.Hgx:ie'n@q,student
mary.norman@myscu.edu,1[!>Ns0U~X#7,student
devon.mckinney@myscu.edu,uD@^dwn!w(0Q,student
mike.edwards@myscu.edu,S1|?t[n3vANJ,student
lisa.valdez@myscu.edu,"d,r3<dy4{^%[",student
rhonda.sherman@myscu.edu,+5P*b/e3sri(,student
travis.hall@myscu.edu,*m);}9fM8e<O,student
robert.cervantes@myscu.edu,"]2]\Z=8,p%g;",student
kenneth.pierce@myscu.edu,"UM:l.,gb'Ay$",student
joe.carey@myscu.edu,miH<Yn^Wc>g@,student
christina.washington@myscu.edu,"!E0V;cSdie""d",student
tiffany.castro@myscu.edu,'q|!oeQT-Gi`,student
jennifer.williams@myscu.edu,"l#^7,85-Cy9u",student
brandon.king@myscu.edu,Id>*Z[-@qzB+,student
jonathan.fisher@myscu.edu,"_nqoY1,hb|+T",student
marc.carroll@myscu.edu,9?=j}w_Co[yQ,student
jeffrey.garcia@myscu.edu,>#t`l_>+.i1P,student
jimmy.palmer@myscu.edu,LS]c{\5!nY\:,student
catherine.jones@myscu.edu,y_Mg`@|cA&tB,student
paul.johnson@myscu.edu,Z@_TYe:DzNFy,student
victoria.brown@myscu.edu,4(L!*K.@\3O\,student
amy.mccoy@myscu.edu,yQ_W)W`JOw{K,student
robert.henderson@myscu.edu,"?4?E""+""[iG4:",student
ryan.porter@myscu.edu,"($IqADzy:L""q",student
dawn.walton@myscu.edu,lh6<rBh)=Du>,student
sheri.sanford@myscu.edu,wBU'=^>.k9!J,student
rebecca.clark@myscu.edu,.D9J}U^[2cS<,student
gary.mccoy@myscu.edu,Qvl<gX0kdc{d,student
matthew.griffin@myscu.edu,GiFQ-J*(vD=l,student
cory.patterson@myscu.edu,kpw#w$}F40-N,student
john.butler@myscu.edu,T$(@jco+BMl],student
margaret.valenzuela@myscu.edu,/TN4L]I*6ErR,student
edward.lozano@myscu.edu,",1:P8=(Euh8~",student
emily.hughes@myscu.edu,zOlfnG8GuC5a,student
amanda.thomas@myscu.edu,RqQpg3oskyp;,student
molly.martin@myscu.edu,rxw_uILMoh(.,student
rodney.austin@myscu.edu,npttp|Ct55^m,student
courtney.black@myscu.edu,WvXGuu:yezu`,student
david.smith@myscu.edu,4Wp^dg\u4DXT,student
kendra.patterson@myscu.edu,_Mm}R7}A{Y4m,student
john.johns@myscu.edu,A_nscpf~}mZs,student
zachary.miller@myscu.edu,}%r2]2{et1D1,student
andrea.williams@myscu.edu,0i!R78&`7IdN,student
paul.johnson@myscu.edu,/e#yt:QL1B~',student
paula.davies@myscu.edu,^62LIZ6r;lQ*,student
calvin.taylor@myscu.edu,O);!#aW/]UoA,student
steven.harris@myscu.edu,Ze<2%&3gh$<3,student
mark.gay@myscu.edu,neOh?mh+oz?O,student
michael.rogers@myscu.edu,QYC0;{`^`v6e,student
martin.hughes@myscu.edu,bD$H060<+=$?,student
alexander.johnson@myscu.edu,+O$3Qi/.[#bk,student
james.rogers@myscu.edu,`4!}C(Wqo-=3,student
emily.gilbert@myscu.edu,}d#SG&e>|m[W,student
anthony.thomas@myscu.edu,p]J78h>'aR}f,student
darryl.harris@myscu.edu,plsQFKLEJAs[,student
jennifer.harding@myscu.edu,X}<3fiHA]^k[,student
jesse.zamora@myscu.edu,d9e}s#CK*(9A,student
justin.love@myscu.edu,My4h6IkW#.cf,student
lisa.miller@myscu.edu,hEy&xY9f+;Xa,student
christina.phillips@myscu.edu,i#?iM*B[Oc:K,student
jason.reynolds@myscu.edu,x|H&R2]u{s[_,student
louis.delgado@myscu.edu,"6K8>,RBY02q=",student
joshua.smith@myscu.edu,"A""ov/<l/erGk",student
cheryl.bell@myscu.edu,Po#$J6dami=R,student
tyler.willis@myscu.edu,EReP}E26cJeh,student
lauren.fry@myscu.edu,~|l`&GDVoqH\,student
robin.dean@myscu.edu,fKUaZv^ycn#f,student
nicholas.medina@myscu.edu,'XZXZjXq514e,student
lisa.french@myscu.edu,4@wj.]L.231z,student
barry.thomas@myscu.edu,tcFtulVYUZ/[,student
donald.woodward@myscu.edu,"ejqTcjS""*1Vw",student
steve.lee@myscu.edu,:\[<2etVF`;o,student
joshua.cox@myscu.edu,"-\cx,J""G(`bj",student
kara.carroll@myscu.edu,w'MPJreF$e0P,student
tara.odom@myscu.edu,CB8MFdL#g'!?,student
kevin.greene@myscu.edu,k]9j'@Bx;^R?,student
kelly.salazar@myscu.edu,PE@zK.jlE+^),student
david.williams@myscu.edu,rwW(wj7l>jl/,student
jimmy.burns@myscu.edu,'~W!}.>$!keB,student
scott.taylor@myscu.edu,yk@l65o;p2yo,student
heather.miller@myscu.edu,aozFA2.nUQ;q,student
abigail.franklin@myscu.edu,w^+Tet!38yE$,student
brian.garcia@myscu.edu,ShwR)q:~>j%F,student
rebecca.brown@myscu.edu,"1i1,s*NZJ8-*",student
elizabeth.evans@myscu.edu,*B<YAfQ._=Hw,student
jonathan.simpson@myscu.edu,>!?]&bb0L&X^,student
scott.vega@myscu.edu,",~vZL@mpV,!N",student
natalie.hess@myscu.edu,bp{H.Xkl$D^9,student
lisa.brown@myscu.edu,-ASH|hL*rubH,student
darren.moore@myscu.edu,S<b7a9XN`&Bq,student
gabriella.williams@myscu.edu,7]y;p.x!E]pL,student
robert.miller@myscu.edu,;H3\?@u>`?_7,student
kristin.jones@myscu.edu,s]j(Gka8`mFQ,student
linda.jones@myscu.edu,E08KsPLNc$#y,student
michael.cline@myscu.edu,+K#Il)%hVNgt,student
darlene.bailey@myscu.edu,QJgBC])bA<>],student
jessica.patel@myscu.edu,"kT.%+X@:b""\w",student
tina.morris@myscu.edu,cmDM%RL9uF5R,student
james.mckinney@myscu.edu,1ki;im8Th?2?,student
shannon.hammond@myscu.edu,2vG#`*;N}-lk,student
shelly.chapman@myscu.edu,}Ne#B!LJ6=H_,student
douglas.collier@myscu.edu,Ro[RPttC!~Kf,student
brent.sanders@myscu.edu,"1>w,\@1kZur\",student
david.thornton@myscu.edu,-r}d6C&{;H;Z,student
william.morales@myscu.edu,.D8Yq9DUf]Tw,student
ariana.anderson@myscu.edu,5^&W2|P<yv&3,student
cheyenne.cruz@myscu.edu,"`8PC,0pHBh_O",student
janet.wolfe@myscu.edu,RSUw|Hj]4*eJ,student
brian.pearson@myscu.edu,"""U*#d.<oK/dr",student
keith.woods@myscu.edu,Bt!fG_*;Bd93,student
ryan.hanson@myscu.edu,`oT~M.Zh<_0=,student
billy.castillo@myscu.edu,|>C|z1TE^vv],student
jessica.gutierrez@myscu.edu,b!*i@XLr%mZQ,student
jennifer.poole@myscu.edu,fT]ZI<I<O{RK,student
kelly.bowman@myscu.edu,vv6*/E(hCi4*,student
adrian.watson@myscu.edu,RRhy)K+WcLJ0,student
ryan.poole@myscu.edu,[(H(gXEIc9)w,student
robert.dickerson@myscu.edu,"]l{5=@T0gv,J",student
heather.brooks@myscu.edu,"lIe,9hg+&2A:",student
ruben.miller@myscu.edu,fq}fIhqQ&1g[,student
richard.pena@myscu.edu,ZP4!;?lkPx9|,student
martin.sanchez@myscu.edu,Vo;jYH6A3\G9,student
kevin.velasquez@myscu.edu,"D""4H_'s``}Cz",student
andrea.cobb@myscu.edu,"1s5z,{]D,Sn&",student
barry.taylor@myscu.edu,*hLbEZ{|-uH},student
courtney.berger@myscu.edu,d?lsi3f`12l2,student
elizabeth.hall@myscu.edu,5pL.{ewC=b_d,student
robert.tran@myscu.edu,"tS,ITS&y)0R0",student
stacey.chapman@myscu.edu,%Cgsy:Rjq.cO,student
karen.garza@myscu.edu,'@tu6`_xU|<0,student
ebony.diaz@myscu.edu,b%i8/mS1zy~P,student
toni.wilson@myscu.edu,1#n@WKe:WSbM,student
bethany.garcia@myscu.edu,qb(@au/b:Yzd,student
sean.santana@myscu.edu,"(^~F_;:""j]hE",student
