User_id,Password,Role
danielle.johnson@myscu.edu,"8czu(""@iNcuV",admin
joshua.walker@myscu.edu,cs9Zu3/a.$Fo,admin
jill.rhodes@myscu.edu,`Fij<4.'Y|JZ,admin
patricia.miller@myscu.edu,:6>2%evBhvjA,admin
robert.johnson@myscu.edu,7IItz_85q'pJ,admin
jeffery.wagner@myscu.edu,~80#<+vdDzt_,professor
anthony.gonzalez@myscu.edu,?D9L\Ryx0y2[,professor
debra.gardner@myscu.edu,Lu~Viek6-NfJ,professor
jeffrey.lawrence@myscu.edu,~X|=b&#Yz8kO,professor
lisa.smith@myscu.edu,Q`?yVq\>C85o,professor
linda.wolfe@myscu.edu,"*Y,XaEb^?;Cf",professor
matthew.moore@myscu.edu,?`iTg**mSZy?,professor
susan.rogers@myscu.edu,NtY'sD~9PWlv,professor
christopher.davis@myscu.edu,F3vug7v\=gw!,professor
melanie.munoz@myscu.edu,"um^1S,.rjONR",professor
lindsay.blair@myscu.edu,"'""}jLF=xrQNA",student
amanda.dudley@myscu.edu,x]P=Ze~;|^<p,student
nicholas.arnold@myscu.edu,"TuLfJ}y,QN`~",student
maria.montgomery@myscu.edu,0&oB|2Y)f2V=,student
michelle.ray@myscu.edu,"o{hr3""wl@x36",student
janet.williams@myscu.edu,"N2X^t&wL""CD)",student
jeremy.roberts@myscu.edu,gR~~guy^??Io,student
christopher.hall@myscu.edu,;%5}9a/C!_mk,student
craig.ramirez@myscu.edu,k0z4&t7yT\<i,student
cynthia.diaz@myscu.edu,NAa+7y(ZOah@,student
mitchell.clark@myscu.edu,[Z;2nlC[-=[t,student
joseph.zuniga@myscu.edu,"xj,@M6o^>|/?",student
deborah.lynch@myscu.edu,c(F^.>/z-k>=,student
george.daniel@myscu.edu,u/RC-vcsE>{A,student
frank.gray@myscu.edu,8L}Y_k|q{ykO,student
veronica.bowman@myscu.edu,'D4WK2x%a^Y&,student
angela.cohen@myscu.edu,"(""Ig!FD<&CDM",student
megan.parsons@myscu.edu,"LBlN_""[5CZaA",student
jeremy.johnson@myscu.edu,O29RPuS[-phW,student
leslie.adams@myscu.edu,"7F/)""vscxS<g",student
jason.hahn@myscu.edu,M7s$Uw9a)+kN,student
nancy.edwards@myscu.edu,q{Wex<Q.!}3`,student
diana.foster@myscu.edu,@5&V;Z[(Syx7,student
robin.ellis@myscu.edu,*X6zhAzEYnv$,student
joseph.wright@myscu.edu,%gMZNtN\2$=*,student
anna.baker@myscu.edu,JaH)=`N)Z4uu,student
brenda.hurst@myscu.edu,"OcF""MpRl6cL1",student
reginald.robinson@myscu.edu,c8mReJtE*J);,student
whitney.hicks@myscu.edu,"xhbY~G9,9)`s",student
christopher.williams@myscu.edu,bol!1u$+p5)k,student
daniel.burton@myscu.edu,":{kcD""{L&h#6",student
laura.henderson@myscu.edu,"j+<4l},GOIVG",student
bryan.james@myscu.edu,<:j{7:%O'{z.,student
wendy.rice@myscu.edu,YTO'z=;i?wR5,student
tasha.valencia@myscu.edu,Jc<rt-F?$za`,student
alexander.le@myscu.edu,i&T*#8U-iu$C,student
erin.herrera@myscu.edu,2SXN)F%zxlsl,student
joseph.davidson@myscu.edu,Y*ruT'|XAjsv,student
daniel.graham@myscu.edu,qbYz|0$l>U?1,student
shawn.mckay@myscu.edu,SPre_S:Lg7fo,student
nancy.baker@myscu.edu,0C~l*4-vXQP=,student
vincent.white@myscu.edu,~C65(`tt!oqh,student
rita.harrell@myscu.edu,aQ3Bv%%Q#]-6,student
kenneth.fowler@myscu.edu,!^NZ8\:gpC)1,student
chelsea.hernandez@myscu.edu,Bl#$_VUhdOEx,student
kathryn.ryan@myscu.edu,"i{;2`~""zd*S9",student
kimberly.moreno@myscu.edu,]r37UiGF!=F$,student
aaron.nguyen@myscu.edu,B_/ZQDE|LW}9,student
andrew.hickman@myscu.edu,ZMrI*6*tZ^P$,student
natasha.decker@myscu.edu,l|5woZZi~\Rl,student
kyle.brown@myscu.edu,;U&Vz;}wZK]V,student
natalie.arroyo@myscu.edu,?>z-N^V:AC3~,student
christopher.tucker@myscu.edu,UnYGZZQEr$1v,student
chad.hodges@myscu.edu,+e)%/K!:}UdV,student
katie.anderson@myscu.edu,3>?PXQ&M9oS|,student
thomas.pierce@myscu.edu,F$9===JD&*?d,student
joseph.brennan@myscu.edu,g7]~)Oj7?P$[,student
rodney.lewis@myscu.edu,e-BJnX1-ph>6,student
amber.blair@myscu.edu,"w\nRxya.[""oP",student
james.collins@myscu.edu,G38Nx<sKTw12,student
wanda.santos@myscu.edu,~B|9z1#(e5U[,student
samuel.holmes@myscu.edu,"A.5H76""&9;7[",student
david.walker@myscu.edu,8DP2'iB)qmY|,student
matthew.chapman@myscu.edu,X\;y:T.)Fk{n,student
jerry.robinson@myscu.edu,"{='}{.I-bYQ""",student
chad.welch@myscu.edu,"""2:_kvc@0]uf",student
jeremy.whitehead@myscu.edu,:\CMn_CUj@mQ,student
michele.jones@myscu.edu,"""(_N(oMjTM`d",student
john.caldwell@myscu.edu,IP`=j#Z|HLrl,student
