Professor_id,Professor_name,Rank,Course_id
jeffery.wagner@myscu.edu,Jeffery Wagner,Senior Professor,"DATA214,DATA204,DATA215"
anthony.gonzalez@myscu.edu,anth,Associate Professor,"DATA212,DATA218"
debra.gardner@myscu.edu,Debra Gardner,Senior Professor,DATA208
jeffrey.lawrence@myscu.edu,Jeffrey Lawrence,Senior Professor,DATA205
lisa.smith@myscu.edu,Lisa Smith,Associate Professor,DATA216
linda.wolfe@myscu.edu,lala,tt,DATA207
matthew.moore@myscu.edu,Matthew Moore,Senior Professor,DATA200
susan.rogers@myscu.edu,Susan Rogers,Senior Professor,"DATA206,DATA213"
christopher.davis@myscu.edu,Christopher Davis,Associate Professor,"DATA211,DATA202"
melanie.munoz@myscu.edu,Melanie Munoz,Assistant Professor,"DATA209,DATA219,DATA203"
liming@edu.cn,liming,senior professor,DATA202
yuyao@edu.cn,yuyao,senior professor,DATA200
danny@edu.com,danny,senior professor,DATA200
mini@edu.cn,mini,senior professor,DATA200
ttt@du.com,ttt,senior professor,DATA200
