Email_address,First_name,Last_name,Course_ids
lindsay.blair@myscu.edu,Lindsay,Blair,
amanda.dudley@myscu.edu,Amanda,Dudley,DATA202
nicholas.arnold@myscu.edu,Nicholas,Arnold,"DATA204,DATA215,DATA211"
maria.montgomery@myscu.edu,Maria,Montgomery,"DATA204,DATA203,DATA208"
michelle.ray@myscu.edu,Michelle,Ray,"DATA216,DATA218"
janet.williams@myscu.edu,Janet,Williams,"DATA204,DATA207,DATA202,DATA205"
jeremy.roberts@myscu.edu,Jeremy,Roberts,"DATA202,DATA218"
christopher.hall@myscu.edu,Christopher,Hall,DATA215
craig.ramirez@myscu.edu,Craig,Ramirez,DATA216
cynthia.diaz@myscu.edu,Cynthia,Diaz,"DATA202,DATA206,DATA204,DATA205"
mitchell.clark@myscu.edu,tt,Clark,"DATA218,DATA207,DATA213,DATA216"
joseph.zuniga@myscu.edu,Joseph,Zuniga,"DATA205,DATA218,DATA206"
deborah.lynch@myscu.edu,Deborah,Lynch,DATA207
george.daniel@myscu.edu,George,Daniel,"DATA213,DATA206,DATA212,DATA219"
frank.gray@myscu.edu,Frank,Gray,"DATA211,DATA209,DATA204,DATA212"
veronica.bowman@myscu.edu,Veronica,Bowman,"DATA207,DATA213,DATA218,DATA209,DATA208"
angela.cohen@myscu.edu,Angela,Cohen,"DATA208,DATA219"
megan.parsons@myscu.edu,Megan,Parsons,DATA213
jeremy.johnson@myscu.edu,Jeremy,Johnson,"DATA208,DATA215"
leslie.adams@myscu.edu,Leslie,Adams,DATA213
jason.hahn@myscu.edu,Jason,Hahn,"DATA218,DATA206,DATA208"
nancy.edwards@myscu.edu,Nancy,Edwards,DATA218
diana.foster@myscu.edu,Diana,Foster,"DATA212,DATA218"
robin.ellis@myscu.edu,Robin,Ellis,
joseph.wright@myscu.edu,Joseph,Wright,"DATA206,DATA204,DATA204,DATA208"
anna.baker@myscu.edu,Anna,Baker,DATA211
brenda.hurst@myscu.edu,Brenda,Hurst,"DATA212,DATA207"
reginald.robinson@myscu.edu,Reginald,Robinson,DATA214
whitney.hicks@myscu.edu,Whitney,Hicks,DATA219
christopher.williams@myscu.edu,Christopher,Williams,"DATA207,DATA204,DATA206,DATA208,DATA213,DATA218,DATA202"
daniel.burton@myscu.edu,Daniel,Burton,DATA204
laura.henderson@myscu.edu,Laura,Henderson,"DATA215,DATA206,DATA203,DATA219"
bryan.james@myscu.edu,Bryan,James,"DATA219,DATA203,DATA206"
wendy.rice@myscu.edu,Wendy,Rice,"DATA216,DATA204,DATA219,DATA203"
tasha.valencia@myscu.edu,Tasha,Valencia,DATA213
alexander.le@myscu.edu,Alexander,Le,"DATA205,DATA216,DATA208,DATA214"
erin.herrera@myscu.edu,Erin,Herrera,"DATA207,DATA204"
joseph.davidson@myscu.edu,Joseph,Davidson,"DATA219,DATA212"
daniel.graham@myscu.edu,Daniel,Graham,"DATA216,DATA206,DATA207"
shawn.mckay@myscu.edu,Shawn,Mckay,"DATA209,DATA215,DATA208,DATA213"
nancy.baker@myscu.edu,Nancy,Baker,DATA215
vincent.white@myscu.edu,Vincent,White,"DATA202,DATA213"
rita.harrell@myscu.edu,Rita,Harrell,"DATA213,DATA205,DATA218"
